id,user_id,user,location,text
1,739506665876299776,Radreezy3000,Jamaica,Greyhound a move shirmzy with the wifi...100 MB dawg😒 really?? A Digicel uncle 🙄
2,25299596,sheppardart,"13.053252,-59.534825",4DX late show — watching Ford v Ferrari at Digicel IMAX - One Woodbrook Place https://t.co/OnDFFGKxFl
3,9339422,iBrianJones,I am everywhere and nowhere,Digicel really scammed us into believing these plans are unlimited eno smh fuckers
4,147405220,whonamesimone,,How many megabytes per min/sec does digicel gives for their 'Play Fast'  home internet plan?
5,967808520,pontuna2run,Lorengau Manus PNG ,Lately telikom is dropping the data ball. Evennat its worst its still 100% better then digicel
6,1175350345,smiletinaa_,876~,I swear Digicel need fi give you a brand ambassadorship https://t.co/r1yBhtvEN3
7,83968667,LiseMariexx,Jamaica,"Every time I open YouTube I get a text from Digicel about getting more data for YouTube.. 

How do I change whateve… https://t.co/q1bemG8FhX"
8,25246209,Chunchi,Jamaica,@Lloydie_D I've never had to do that. I use my Jamaican cards abroad and my US bank card here without issue. Only o… https://t.co/R1oBNrNRVH
9,127573027,russ_mc_876,"Kingston, Jamaica",DIGICEL SO THIEF THEY SAID. FLOW NEVER SCAMS THEIR CUSTOMERS THEY SAID. FLOW IS HONEST AND RELIABLE AND CHEAP THEY… https://t.co/giV0UdETid
10,146615839,rhizophil,Jamaica,If Digicel doesn't stop making my phone not ring but making me miss calls. ...I am going to commit a high crime and misdemeanor!!
11,1084653178682032128,keshonnn_,Trinidad and Tobago,"How I use up all my data if I bought an unlimited plan from Digicel ?

Why inter-regional flights still so expensiv… https://t.co/P5zgcVcgu1"
12,887061841616269313,theofficialoura,"Chicago, IL","Your happiness is our happiness.  If we fell short, please give us a ring, and we will fix it.
#mobilerecharge… https://t.co/rDtnhT0yyf"
13,959209196477706240,krisshotit,Barbados,Here filming people answering questions for prizes in town with digicel. The amount of people that said the hibiscu… https://t.co/jVVMrcDuFw
14,253771646,TeyannaChante,Barbados,Only thing that does offset me now is Digicel telling me I used up 95% of my data plan .
15,408625247,stann360,Jamaica,"@SH3DXZ Coverage is fine, just that Digicel goes down when there’s a power outage."
16,2191448766,soshi_bear,,"@AndreMumbles @FLOWJamaica I have them and digicel and when one go down, I switch to the other only to find out tha… https://t.co/Mkgu1aqotU"
17,2773820450,JahMekAWail,Jamaica,@stbessgirl @stann360 @DeniseWhorms @DIGICELJamaica Sounds like Mandeville when I was a boy. Did have a box radio t… https://t.co/X1AkFpB4Pc
18,3924839293,Immortal777_33,Jamaica,"@DPLedford @DIGICELJamaica Hey, where in Jamaica you did this speed test?. Would love to get LTE and get LTE speeds like this from Digicel"
19,1551368346,ericka_nunez,,"@AmelieLens Go for Tigo, Claro, or Digicel. They offer really cheap data plans and most have free roaming around the American continent :)"
20,416262017,sAniBoo2cute,Montego bay Jamaica,Why on Gods earth mi so loyal to digicel 😟
21,106384090,DevTelecoms,London,Jamaican regulator tasks operators with addressing QoS #LatinAmerica #Caribbean #Digicel #Jamaica #QoS #Flow… https://t.co/PA3AGJxwCS
22,1009179344432979969,BayCorner,,@AndreMumbles @FLOWJamaica VERY serious question.  ALL over the Island communications are failing.  For days it see… https://t.co/HD49tgqfnE
23,720232832,Niggawhatyuwant,759,Digicel okay? My service keeps dropping
24,64227578,Spinal_Lfcfan,,Digicel stop messaging me...now its courts turn...but not one from babes 😥
25,30692407,shahadali,Trinidad and Tobago,"ALTA invited Ms. Alicia Hospedales, Senior Government Relations Executive at Digicel Foundation to our Community Cl… https://t.co/gRZUyU02Qa"
26,147588576,ALTA_TT,Trinidad and Tobago,"ALTA invited Ms. Alicia Hospedales, Senior Government Relations Executive at Digicel Foundation to our Community Cl… https://t.co/HW4k4CEBjJ"
27,993714656,askanonpro,,Digicel and Flow not making us be great. Honorable mention to JPS https://t.co/PYzGyk1lRB
28,48160039,audiealex,St. Lucia,So flow jus pitch a whole tent outside digicel 😂😂😂😂😂😂
29,1173709137647194112,jermecaaaa,"Norland, FL",@Gaza_Youthh Me ain’t letting nothing flow. Me is a digicel gal. 😂😂🥴 I hope I funny cause I dyinggg. 🤣🤦🏽‍♀️
